id,id_llamada,cedula,fecha_gestion,hora_gestion,hora_inicio_llamada,hora_fin_llamada,duracion_llamada,id_nomenclatura,id_motivo,ultimo_resultado_llamada,sentimiento,es_familiar,aceptacion,contactoalo,contactoefectivo,numero_telefono,transcripcion_llamada,resumen_llamada,link_audio_vapi,created_at,updated_at,interes_llamada_ejecutivo
1,sim-SIM-0077-1780604980941,1700000077,2026-06-04,15:29:40,2026-06-04 15:28:55.941-05,2026-06-04 15:29:40.941-05,45,NIN,Equivocado,customer-ended-call,NEGATIVO,NO,,SI,SI,0999999999,Cliente indica que equivocado wrong error. No muestra interes en continuar con el proceso de matricula en UTPL.,Cliente indica que equivocado wrong error. No muestra interes en continuar con el proceso de matricula en UTPL.,,2026-06-04 15:29:41.682706-05,2026-06-04 15:29:41.682706-05,NO_APLICA
2,sim-SIM-0074-1780605000907,1700000074,2026-06-04,15:30:00,2026-06-04 15:29:15.907-05,2026-06-04 15:30:00.907-05,45,NIN,Interesado Proximo periodo,customer-ended-call,NEUTRAL,NO,,SI,SI,0999999999,Cliente indica que proximo periodo siguiente. No muestra interes en continuar con el proceso de matricula en UTPL.,Cliente indica que proximo periodo siguiente. No muestra interes en continuar con el proceso de matricula en UTPL.,,2026-06-04 15:30:01.546141-05,2026-06-04 15:30:01.546141-05,NO_APLICA
3,sim-SIM-0071-1780605020924,1700000071,2026-06-04,15:30:20,2026-06-04 15:29:35.924-05,2026-06-04 15:30:20.924-05,45,NIN,Estudia Ahora En Otra Univ,customer-ended-call,NEGATIVO,NO,,SI,SI,0999999999,Cliente indica que otra universidad ya. No muestra interes en continuar con el proceso de matricula en UTPL.,Cliente indica que otra universidad ya. No muestra interes en continuar con el proceso de matricula en UTPL.,,2026-06-04 15:30:21.586036-05,2026-06-04 15:30:21.586036-05,NO_APLICA
4,sim-SIM-0080-1780605040927,1700000080,2026-06-04,15:30:40,2026-06-04 15:29:55.927-05,2026-06-04 15:30:40.927-05,45,NIN,Estudia Ahora En Otra Univ,customer-ended-call,NEGATIVO,NO,,SI,SI,0999999999,Cliente indica que otra universidad ya. No muestra interes en continuar con el proceso de matricula en UTPL.,Cliente indica que otra universidad ya. No muestra interes en continuar con el proceso de matricula en UTPL.,,2026-06-04 15:30:41.51077-05,2026-06-04 15:30:41.51077-05,NO_APLICA
5,sim-SIM-0027-1780605061034,1700000027,2026-06-04,15:31:01,2026-06-04 15:30:16.034-05,2026-06-04 15:31:01.034-05,45,NIN,Carreras Ofertadas No Desea,customer-ended-call,NEGATIVO,NO,,SI,SI,0999999999,Cliente indica que no ofertan no. No muestra interes en continuar con el proceso de matricula en UTPL.,Cliente indica que no ofertan no. No muestra interes en continuar con el proceso de matricula en UTPL.,,2026-06-04 15:31:01.617093-05,2026-06-04 15:31:01.617093-05,NO_APLICA
6,sim-SIM-0033-1780605081022,1700000033,2026-06-04,15:31:21,2026-06-04 15:30:36.021-05,2026-06-04 15:31:21.021-05,45,NIN,No Tiene Tiempo Para Estudiar,customer-ended-call,NEGATIVO,NO,,SI,SI,0999999999,Cliente indica que no tengo tiempo. No muestra interes en continuar con el proceso de matricula en UTPL.,Cliente indica que no tengo tiempo. No muestra interes en continuar con el proceso de matricula en UTPL.,,2026-06-04 15:31:21.764848-05,2026-06-04 15:31:21.764848-05,NO_APLICA
7,sim-SIM-0088-1780605100975,1700000088,2026-06-04,15:31:40,2026-06-04 15:30:55.975-05,2026-06-04 15:31:40.975-05,45,NIN,Continuara por si solo,customer-ended-call,NEUTRAL,NO,,SI,SI,0999999999,Cliente indica que cuenta propia por. No muestra interes en continuar con el proceso de matricula en UTPL.,Cliente indica que cuenta propia por. No muestra interes en continuar con el proceso de matricula en UTPL.,,2026-06-04 15:31:41.672052-05,2026-06-04 15:31:41.672052-05,NO_APLICA
8,sim-SIM-0021-1780605129252,1700000021,2026-06-04,15:32:09,2026-06-04 15:31:24.252-05,2026-06-04 15:32:09.252-05,45,NC,NC,customer-ended-call,NEUTRAL,NO,,NO,NO,0999999999,Llamada dirigida al buzon de voz.,Llamada dirigida al buzon de voz.,,2026-06-04 15:32:10.42179-05,2026-06-04 15:32:10.42179-05,NO_APLICA
9,sim-SIM-0082-1780605140926,1700000082,2026-06-04,15:32:20,2026-06-04 15:31:35.926-05,2026-06-04 15:32:20.926-05,45,NIN,Interesado Cursos Form. Perm,customer-ended-call,NEUTRAL,NO,,SI,SI,0999999999,Cliente indica que cursos taller formacion. No muestra interes en continuar con el proceso de matricula en UTPL.,Cliente indica que cursos taller formacion. No muestra interes en continuar con el proceso de matricula en UTPL.,,2026-06-04 15:32:21.590293-05,2026-06-04 15:32:21.590293-05,NO_APLICA
10,sim-SIM-0094-1780605160971,1700000094,2026-06-04,15:32:40,2026-06-04 15:31:55.971-05,2026-06-04 15:32:40.971-05,45,NIN,No Desea Continuar Con Proceso Matricula,customer-ended-call,NEGATIVO,NO,,SI,SI,0999999999,Cliente indica que no desea no. No muestra interes en continuar con el proceso de matricula en UTPL.,Cliente indica que no desea no. No muestra interes en continuar con el proceso de matricula en UTPL.,,2026-06-04 15:32:41.797404-05,2026-06-04 15:32:41.797404-05,NO_APLICA
