id_negocio,id_interno_negocio,cedula,nombre,apellido,modalidad,producto,telefono1,telefono2,telefono3,telefono4,telefono5,telefono6,intentos_llamada,win_tries,win_stamp,estado_flujo,fecha_reagenda,telefono_index
SIM-0001,INT-0001,1700000001,Juan,Perez,MODALIDAD EN LINEA,EDUCACION BASICA,0999999001,0999999002,,,,,0,0,,PENDIENTE,,0
SIM-0002,INT-0002,1700000002,Maria,Gomez,POSGRADO,DERECHO TRIBUTARIO,0999999003,,,,,,0,0,,PENDIENTE,,0
SIM-0003,INT-0003,1700000003,Carlos,Lopez,TECNOLOGICO,NEGOCIACION Y VENTAS,0999999004,0999999005,,,,,0,0,,PENDIENTE,,0
SIM-0004,INT-0004,1700000004,Ana,Rodriguez,MODALIDAD EN LINEA,PSICOLOGIA,0999999006,0999999007,,,,,0,0,,PENDIENTE,,0
SIM-0005,INT-0005,1700000005,Pedro,Martinez,POSGRADO,DERECHO TRIBUTARIO,0999999008,,,,,,0,0,,PENDIENTE,,0
SIM-0006,INT-0006,1700000006,Laura,Sanchez,TECNOLOGICO,MODELADO BIM,0999999009,0999999010,,,,,0,0,,PENDIENTE,,0
SIM-0007,INT-0007,1700000007,Luis,Torres,MODALIDAD EN LINEA,FINANZAS,0999999011,,,,,,0,0,,PENDIENTE,,0
SIM-0008,INT-0008,1700000008,Sofia,Ramirez,POSGRADO,GERENCIA DE INSTITUCIONES DE SALUD,0999999012,0999999013,,,,,0,0,,PENDIENTE,,0
SIM-0009,INT-0009,1700000009,Diego,Flores,TECNOLOGICO,MARKETING TURISTICO DIGITAL,0999999014,0999999015,,,,,0,0,,PENDIENTE,,0
SIM-0010,INT-0010,1700000010,Elena,Vargas,MODALIDAD EN LINEA,CONTABILIDAD Y AUDITORIA,0999999016,,,,,,0,0,,PENDIENTE,,0
SIM-0011,INT-0011,1700000011,Andres,Morales,POSGRADO,DERECHO TRIBUTARIO,0999999017,0999999018,,,,,0,0,,PENDIENTE,,0
SIM-0012,INT-0012,1700000012,Valentina,Ruiz,TECNOLOGICO,NEGOCIACION Y VENTAS,0999999019,,,,,,0,0,,PENDIENTE,,0
SIM-0013,INT-0013,1700000013,Jose,Ortiz,MODALIDAD EN LINEA,DERECHO,0999999020,0999999021,,,,,0,0,,PENDIENTE,,0
SIM-0014,INT-0014,1700000014,Camila,Castro,POSGRADO,DERECHO PENAL,0999999022,0999999023,,,,,0,0,,PENDIENTE,,0
SIM-0015,INT-0015,1700000015,Miguel,Herrera,TECNOLOGICO,CREACION AUDIOVISUAL DIGITAL,0999999024,,,,,,0,0,,PENDIENTE,,0
SIM-0016,INT-0016,1700000016,Daniela,Medina,MODALIDAD EN LINEA,DERECHO,0999999025,,,,,,0,0,,PENDIENTE,,0
SIM-0017,INT-0017,1700000017,Fernando,Reyes,POSGRADO,GESTION DE LA CALIDAD,0999999026,0999999027,,,,,0,0,,PENDIENTE,,0
SIM-0018,INT-0018,1700000018,Gabriela,Mendoza,TECNOLOGICO,NEGOCIACION Y VENTAS,0999999028,,,,,,0,0,,PENDIENTE,,0
SIM-0019,INT-0019,1700000019,Javier,Silva,MODALIDAD EN LINEA,DERECHO,0999999029,0999999030,,,,,0,0,,PENDIENTE,,0
